,UMAP1,UMAP2
221,-9.0731325,-16.436869
222,-9.166041,-16.31815
223,-8.960409,-16.357576
224,-8.890316,-16.471323
225,-8.949977,-16.388493
226,-9.2483015,-16.29421
227,-9.118209,-16.331236
228,-9.221453,-16.180094
229,-9.39567,-16.144178
230,-9.392304,-16.114697
231,-9.484922,-16.069277
232,-9.469331,-16.009352
233,-8.806012,-15.886834
234,-9.364928,-16.441973
235,-8.999854,-16.155624
236,-9.236307,-16.113552
237,-9.272712,-16.265425
238,-9.18953,-16.256578
239,-9.389624,-15.954561
240,-9.288064,-16.168516
241,-9.244544,-16.235744
242,-9.115953,-16.308199
243,-9.130899,-16.269482
244,-9.038698,-16.30973
245,-9.025552,-16.348572
246,-9.05632,-16.249762
247,-9.005288,-16.31388
248,-9.0831,-16.349195
249,-9.023856,-16.29024
250,-8.966087,-16.300425
251,-9.060856,-16.335398
252,-9.051685,-16.374767
253,-9.049921,-16.309597
254,-9.118821,-16.310766
255,-5.3150673,-15.204481
256,-5.4031515,-15.250214
257,-5.1488357,-15.211436
258,-5.0621667,-15.377205
259,-5.0965858,-15.346491
260,-4.998582,-15.430438
261,-5.0778728,-15.579143
262,-5.008604,-15.499425
263,-5.048977,-15.534759
264,-5.007842,-15.521007
265,-5.0613017,-15.570961
266,-5.0532074,-15.613444
267,-5.139441,-15.624183
268,-5.026044,-15.638885
269,-5.0307984,-15.604877
270,-5.0463233,-15.634956
271,-4.958896,-15.545444
272,-5.049887,-15.547314
273,-4.9731708,-15.446809
274,-5.0247335,-15.395234
275,-5.033991,-15.534329
276,-4.9914875,-15.5323
277,-5.138687,-15.583985
278,-5.1661525,-15.362825
279,-5.246007,-15.341967
280,-5.213484,-15.248242
281,-5.10996,-15.403582
282,-5.1336064,-15.455639
283,-5.1626782,-15.485045
284,-5.122715,-15.522165
285,-5.120964,-15.53914
286,-5.1956444,-15.505482
287,-5.164865,-15.425537
288,-5.222643,-15.412303
289,-5.2120547,-15.4882555
290,-5.376207,-15.521326
291,-5.4718137,-15.23891
292,-5.590471,-15.26135
293,-5.499617,-15.186699
294,-5.2967715,-14.860563
295,-5.443949,-15.073868
296,-5.2222023,-14.884712
297,-5.3385596,-14.793909
298,-5.4596825,-14.939321
299,-5.247916,-14.787617
300,-5.39138,-14.654628
301,-5.415819,-14.57541
302,-5.26947,-14.49099
303,-5.4578104,-14.733256
304,-5.429946,-15.005787
305,-5.499759,-14.943035
306,-5.483876,-15.117456
307,-5.3127556,-15.075798
308,-5.478451,-14.96951
309,-5.3462734,-15.015219
310,-5.520165,-14.66194
311,-5.5481043,-14.750698
312,-5.3596067,-14.377085
313,-5.4588695,-14.82799
314,-5.3811536,-14.832644
315,-5.4911814,-14.9000025
316,-5.1673236,-14.363211
317,-5.137354,-14.349254
318,-5.055726,-14.319761
319,-5.3220396,-14.469791
320,-5.1814475,-14.364096
321,-5.02119,-14.337067
322,-5.0849137,-14.383076
323,-5.5131865,-14.458274
324,-5.042424,-14.38938
325,-5.126289,-14.334494
326,-5.201489,-14.577614
327,-5.138879,-14.425069
328,-5.1216655,-14.409816
329,-5.022007,-14.39887
330,-5.122704,-14.343415
331,-5.072899,-14.351195
332,-5.0102973,-14.401533
333,-5.0192156,-14.374849
334,-4.9725003,-14.348934
335,-4.998458,-14.400997
336,-5.0131645,-14.384733
337,-5.196538,-14.354033
338,-4.9981303,-14.334538
339,-4.979668,-14.404555
340,-7.9166946,-17.174095
341,-7.9896607,-17.205511
342,-7.9563756,-17.261488
343,-7.986731,-17.18337
344,-8.03266,-17.21793
345,-8.1106615,-17.259388
346,-8.029678,-17.211903
347,-8.059895,-17.300365
348,-8.087704,-17.354975
349,-8.205453,-17.334272
350,-8.197332,-17.380379
351,-8.144575,-17.383202
352,-8.30873,-17.374796
353,-8.17558,-17.378452
354,-8.2856655,-17.389975
355,-8.190691,-17.380672
356,-8.284356,-17.433702
357,-8.377288,-17.381588
358,-8.314524,-17.235512
359,-8.384811,-17.227707
360,-8.318919,-17.305937
361,-8.343196,-17.327
362,-8.367058,-17.207077
363,-8.306295,-17.112974
364,-8.098875,-17.036848
365,-8.122191,-17.109127
366,-7.9983687,-16.98943
367,-8.115184,-16.893827
368,-8.065425,-16.374376
369,-8.129957,-16.5188
370,-8.090518,-16.72717
371,-8.120384,-16.804914
372,-8.148589,-16.83641
373,-8.150942,-16.772072
374,-8.089233,-16.67533
375,-8.113781,-16.821728
376,-8.083759,-16.853962
377,-8.100527,-16.902431
378,-8.086121,-16.874208
379,-8.079396,-16.942392
380,-8.073406,-16.880121
381,-8.123292,-16.85914
382,-8.04037,-16.899223
383,-8.0336075,-16.946735
384,-8.105202,-16.862185
385,-8.142458,-16.528036
386,-7.951998,-16.193676
387,-8.086636,-16.254038
388,-7.98846,-16.588705
389,-8.134557,-16.765709
390,-8.211982,-16.747398
391,-8.295965,-16.796156
392,-8.28865,-16.922174
393,-8.280497,-16.894878
394,-8.282211,-16.957184
395,-8.379038,-16.808426
396,-8.281805,-16.933908
397,-8.318873,-16.8557
398,-8.345979,-16.911036
399,-8.377344,-16.92808
400,-8.243346,-16.86737
401,-8.470112,-16.83274
402,-8.438299,-16.958672
403,-8.515261,-16.91064
404,-8.655037,-17.05874
405,-8.589643,-17.208122
406,-8.619162,-17.167923
407,-8.550005,-17.24047
408,-8.68556,-17.066092
409,-8.565065,-17.274862
410,-8.549704,-17.142744
411,-8.60123,-17.110872
412,-8.609309,-17.219795
413,-8.603791,-17.273275
414,-8.567026,-17.290377
