,Complete Diameter Distance,Average Diameter Distance,Centroid Diameter Distance,Single Linkage Distance,Maximum Linkage Distance,Average Linkage Distance,Centroid Linkage Distance,Ward's Distance,Silhouette,Homogeneity,Completeness,V-measure,Adjusted Rand Index,Adjusted Mutual Info
All,1.3635594993829727,0.41837484220360915,1.494719737188932,0.2723912447690964,0.6924917865544558,0.40242130406057175,0.31124719977378845,0.3687450837070014,-0.11192165315151215,0.18749495918188913,0.3504135316103778,0.24428233400555174,0.11074629802864809,0.2425759576877493
PHet,0.6952042132616043,0.10448853930051283,0.4106080303223206,0.07668218319304287,0.4825786016881466,0.2520387633680182,0.3812748193740845,0.3734579316303739,0.49460551142692566,0.22603426830334408,0.29348472395792014,0.2553808650932879,0.1402225194917952,0.25402778885079186
